Date,Open,High,Low,Close,Adj Close,Volume,company_name
2018-03-08,23352.240234375,23540.564453125,23088.5859375,23427.5703125,22934.6484375,4823053,FPT
2018-03-09,23615.89453125,23766.5546875,23163.916015625,23201.580078125,22713.412109375,6951853,FPT
2018-03-12,23352.240234375,23578.23046875,23126.251953125,23126.251953125,22639.669921875,4357499,FPT
2018-03-13,23050.921875,23050.921875,22372.953125,22636.607421875,22160.328125,13296380,FPT
2018-03-14,22636.607421875,22900.26171875,22372.953125,22900.26171875,22418.43359375,5549539,FPT
2018-03-15,22975.591796875,23013.255859375,22711.9375,22824.931640625,22344.689453125,3157656,FPT
2018-03-16,22824.931640625,22900.26171875,22485.947265625,22636.607421875,22160.328125,4106975,FPT
2018-03-19,22674.271484375,22824.931640625,22561.27734375,22787.267578125,22307.81640625,3550009,FPT
2018-03-20,22674.271484375,23465.234375,22598.943359375,23088.5859375,22602.794921875,7756394,FPT
2018-03-21,23088.5859375,23276.91015625,22975.591796875,22975.591796875,22492.177734375,2653580,FPT
2018-03-22,22975.591796875,23126.251953125,22636.607421875,22636.607421875,22160.328125,3460352,FPT
2018-03-23,22222.29296875,22448.283203125,21845.64453125,22071.634765625,21607.2421875,8948702,FPT
2018-03-26,22071.634765625,22372.953125,22071.634765625,22297.623046875,21828.474609375,2551017,FPT
2018-03-27,22561.27734375,22636.607421875,22222.29296875,22410.6171875,21939.091796875,7308602,FPT
2018-03-28,22259.958984375,22372.953125,22146.962890625,22184.62890625,21717.857421875,26170089,FPT
2018-03-29,22372.953125,22485.947265625,22222.29296875,22410.6171875,21939.091796875,6178905,FPT
2018-03-30,22448.283203125,23088.5859375,22372.953125,22862.59765625,22381.5625,19953449,FPT
2018-04-02,23163.916015625,23239.24609375,22975.591796875,23163.916015625,22676.541015625,6756471,FPT
2018-04-03,23050.921875,23126.251953125,22937.92578125,23050.921875,22565.92578125,4536284,FPT
2018-04-04,23352.240234375,23653.560546875,23201.580078125,23239.24609375,22750.287109375,6098379,FPT
2018-04-05,23352.240234375,23992.544921875,23163.916015625,23728.888671875,23229.626953125,9236977,FPT
2018-04-06,24180.869140625,24218.533203125,23615.89453125,23615.89453125,23119.009765625,10031189,FPT
2018-04-09,23578.23046875,23954.87890625,23578.23046875,23879.548828125,23377.1171875,3988325,FPT
2018-04-10,23954.87890625,24557.517578125,23917.21484375,24256.19921875,23745.841796875,12713448,FPT
2018-04-11,24406.857421875,24632.84765625,23728.888671875,23728.888671875,23229.626953125,10675742,FPT
2018-04-12,23728.888671875,23954.87890625,23389.90625,23954.87890625,23450.861328125,3503016,FPT
2018-04-13,24067.873046875,24067.873046875,23352.240234375,23352.240234375,22860.904296875,6230491,FPT
2018-04-16,23352.240234375,23502.900390625,22937.92578125,23013.255859375,22529.05078125,3135673,FPT
2018-04-17,23163.916015625,23352.240234375,22937.92578125,23352.240234375,22860.904296875,5108699,FPT
2018-04-18,23465.234375,23691.224609375,23314.576171875,23352.240234375,22860.904296875,3787712,FPT
2018-04-19,23352.240234375,23389.90625,22862.59765625,22862.59765625,22381.5625,6311680,FPT
2018-04-20,22975.591796875,23163.916015625,22711.9375,23088.5859375,22602.794921875,2919556,FPT
2018-04-23,23088.5859375,23239.24609375,21544.32421875,21845.64453125,21386.005859375,7870754,FPT
2018-04-24,21619.654296875,22033.96875,21130.01171875,21243.005859375,20796.046875,4914012,FPT
2018-04-26,21431.330078125,21732.650390625,20715.697265625,20715.697265625,20279.83203125,7791361,FPT
2018-04-27,20715.697265625,21619.654296875,20678.033203125,21468.99609375,21017.283203125,4307296,FPT
2018-05-02,21770.314453125,21845.64453125,21393.666015625,21468.99609375,21017.283203125,3637812,FPT
2018-05-03,21393.666015625,21845.64453125,20979.3515625,21845.64453125,21386.005859375,12493985,FPT
2018-05-04,22033.96875,22222.29296875,21920.974609375,22146.962890625,21680.984375,3400334,FPT
2018-05-07,22146.962890625,22448.283203125,22071.634765625,22448.283203125,21975.96484375,2331185,FPT
2018-05-08,22297.623046875,22448.283203125,22146.962890625,22222.29296875,21754.73046875,5368946,FPT
2018-05-09,22071.634765625,22259.958984375,21883.30859375,21996.3046875,21533.49609375,2975697,FPT
2018-05-10,21996.3046875,22372.953125,21845.64453125,21958.638671875,21496.623046875,4104954,FPT
2018-05-11,21845.64453125,22410.6171875,21845.64453125,22410.6171875,21939.091796875,3105300,FPT
2018-05-14,22636.607421875,23239.24609375,22448.283203125,23201.580078125,22713.412109375,5628631,FPT
2018-05-15,23352.240234375,23352.240234375,22975.591796875,23126.251953125,22639.669921875,2490109,FPT
2018-05-16,22975.591796875,23126.251953125,22787.267578125,22787.267578125,22307.81640625,2583115,FPT
2018-05-17,22749.6015625,23126.251953125,22749.6015625,22824.931640625,22344.689453125,1910794,FPT
2018-05-18,22824.931640625,22975.591796875,22146.962890625,22900.26171875,22418.43359375,2601698,FPT
2018-05-21,23050.921875,23502.900390625,22975.591796875,22975.591796875,22492.177734375,4077053,FPT
2018-05-22,22975.591796875,23163.916015625,22410.6171875,22485.947265625,22012.8359375,6250082,FPT
2018-05-23,22598.943359375,22975.591796875,22410.6171875,22824.931640625,22344.689453125,3125132,FPT
2018-05-24,22937.92578125,23050.921875,22410.6171875,22410.6171875,21939.091796875,3921519,FPT
2018-05-25,22090.466796875,22090.466796875,21180.859375,21180.859375,20735.208984375,2243995,FPT
2018-05-28,20444.509765625,20877.65625,19708.16015625,19708.16015625,19293.49609375,4937056,FPT
2018-05-29,19708.16015625,20877.65625,19426.615234375,20531.138671875,20099.158203125,5426567,FPT
